frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
126,1,10,1675.554823,2.492495,15,120,50,874.654284,5.070706,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,647.3368726607048,3.307784203212316
127,1,55,804.261337,2.683663,15,120,60,682.551236,2.632025,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,621.162043631434,3.450371625388204
128,1,40,1003.866744,2.500815,15,120,80,591.066223,2.709861,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,591.0662225237526,3.6403099101175487
129,1,55,752.408717,2.660649,15,120,1,3655.698994,2.247013,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,533.4645289929992,4.004696458384356
130,1,20,1463.920219,2.118574,15,120,55,733.35931,5.337355,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,498.7571205743696,4.294684219823263
131,1,30,1178.660383,3.213203,15,120,20,1458.729985,2.368997,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,449.3185882712613,4.762404595872018
132,1,80,406.783863,2.751907,15,120,5,2134.800427,2.40661,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,406.783863070596,5.247996836476033
133,1,75,356.584682,2.657781,15,120,25,1319.857384,2.246324,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,349.98647106276377,6.065743512633687
135,1,30,1134.26461,2.388894,15,120,25,1315.189307,2.055237,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,309.9130086490516,6.8152837323810616
136,1,1,3599.750556,2.49587,15,120,60,414.957743,2.696642,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,338.17790049680553,6.267373281364219
137,1,35,941.271136,2.090682,15,120,10,1642.675766,2.331289,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,327.6880589254903,6.396622822126789
138,1,50,680.972014,2.336053,15,120,40,873.930689,5.361382,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,313.3919794908002,6.656695357855348
140,1,75,354.568617,2.766496,15,120,60,425.121037,5.26332,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,348.80674634129525,6.007569414137576
141,1,10,1671.043286,2.083616,15,120,30,1160.49649,2.107775,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,392.1364942605082,5.364157105162406
142,1,55,683.416568,2.666434,15,120,50,747.654112,2.979886,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,432.9795396238217,4.867489250119929
143,1,10,1701.085749,2.188758,15,120,60,552.971121,2.679118,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,499.4546071209174,4.253299434910508
144,1,15,1662.258119,2.123223,15,120,20,1513.314834,8.447311,13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,560.979047986468,3.836292311305612
